Umbrella Cell Type,Specific Cell Type,Brain Region,Gene Symbol (Human),Gene Symbol (Mouse),Species,Age,Statistical Criterion,Specificity,Comparison,Platform,Citation,Tag,CellType_Primary
Mural,Pericyte,"Cortex, Meninges Removed",COL11A1,Col4a5,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Mural_Pericyte_Zhang_JNeuro_2014,Mural
Mural,Pericyte,"Cortex, Meninges Removed",VTN,Vtn,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Mural_Pericyte_Zhang_JNeuro_2014,Mural
Mural,Pericyte,"Cortex, Meninges Removed",LAMA1,Lama2,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Mural_Pericyte_Zhang_JNeuro_2014,Mural
Mural,Pericyte,"Cortex, Meninges Removed",MFAP4,Mfap4,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Mural_Pericyte_Zhang_JNeuro_2014,Mural
Mural,Pericyte,"Cortex, Meninges Removed",KCNE4,Kcne4,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Mural_Pericyte_Zhang_JNeuro_2014,Mural
Mural,Pericyte,"Cortex, Meninges Removed",ERRFI1,Errfi1,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Mural_Pericyte_Zhang_JNeuro_2014,Mural
Oligodendrocyte,Progenitor Cell,"Cortex, Meninges Removed",PDGFRB,Pdgfra,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Progenitor Cell_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,"Cortex, Meninges Removed",LNX1,Lnx1,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Progenitor Cell_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,"Cortex, Meninges Removed",DCN,Dcn,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Progenitor Cell_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,"Cortex, Meninges Removed",MMP14,Mmp15,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Progenitor Cell_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,"Cortex, Meninges Removed",CDO1,Cdo1,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Progenitor Cell_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,"Cortex, Meninges Removed",SAPCD2,Sapcd2,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Progenitor Cell_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,"Cortex, Meninges Removed",KCNK1,Kcnk1,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Progenitor Cell_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,"Cortex, Meninges Removed",RASGRF2,Rasgrf1,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Progenitor Cell_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,"Cortex, Meninges Removed",PCDH15,Pcdh15,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Progenitor Cell_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,"Cortex, Meninges Removed",CHRNA4,Chrna4,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Progenitor Cell_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,"Cortex, Meninges Removed",DLL3,Dll3,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Progenitor Cell_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,"Cortex, Meninges Removed",COL11A1,Col1a2,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Progenitor Cell_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,"Cortex, Meninges Removed",NA,Fam70b,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Progenitor Cell_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,"Cortex, Meninges Removed",SSTR1,Sstr1,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Progenitor Cell_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,"Cortex, Meninges Removed",PNLIPRP1,Pnlip,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Progenitor Cell_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,"Cortex, Meninges Removed",CSPG4,Cspg4,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Progenitor Cell_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,"Cortex, Meninges Removed",LPPR1,Lppr1,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Progenitor Cell_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,"Cortex, Meninges Removed",PPAPDC1A,Ppapdc1a,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Progenitor Cell_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,"Cortex, Meninges Removed",NXPH2,Nxph1,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Progenitor Cell_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,"Cortex, Meninges Removed",PID1,Pid1,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Progenitor Cell_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,"Cortex, Meninges Removed",UGDH,Ugdh,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Progenitor Cell_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,"Cortex, Meninges Removed",SLITRK1,Slitrk1,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Progenitor Cell_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,"Cortex, Meninges Removed",SHC4,Shc4,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Progenitor Cell_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,"Cortex, Meninges Removed",SMOC2,Smoc1,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Progenitor Cell_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,"Cortex, Meninges Removed",EMID1,Emid1,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Progenitor Cell_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,"Cortex, Meninges Removed",NA,Ribp1,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Progenitor Cell_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,"Cortex, Meninges Removed",DCAF12,Dcaf12l1,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Progenitor Cell_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,"Cortex, Meninges Removed",LYPD6,Lypd6,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Progenitor Cell_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,"Cortex, Meninges Removed",LHFPL3,Lhfpl3,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Progenitor Cell_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,"Cortex, Meninges Removed",MYT1L,Myt1,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Progenitor Cell_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,"Cortex, Meninges Removed",GRIA2,Gria3,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Progenitor Cell_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,"Cortex, Meninges Removed",C1QL3,C1ql1,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Progenitor Cell_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,"Cortex, Meninges Removed",TMEM179,Tmem179,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Progenitor Cell_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,"Cortex, Meninges Removed",MEGF10,Megf11,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Progenitor Cell_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,"Cortex, Meninges Removed",HPCA,Ncald,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Progenitor Cell_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,"Cortex, Meninges Removed",SDC3,Sdc3,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Progenitor Cell_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,"Cortex, Meninges Removed",RPRM,Rprm,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Progenitor Cell_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,"Cortex, Meninges Removed",CACNG4,Cacng4,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Progenitor Cell_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,"Cortex, Meninges Removed",GRIN3B,Grin3a,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Progenitor Cell_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Progenitor Cell,"Cortex, Meninges Removed",NA,Fam5c,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Progenitor Cell_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Newly-Formed,"Cortex, Meninges Removed",GP1BB,Gp1bb,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Newly-Formed_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Newly-Formed,"Cortex, Meninges Removed",TMEM108,Tmem108,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Newly-Formed_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Newly-Formed,"Cortex, Meninges Removed",FGR,Fyn,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Newly-Formed_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Newly-Formed,"Cortex, Meninges Removed",UST,Ust,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Newly-Formed_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Newly-Formed,"Cortex, Meninges Removed",MICAL1,Mical3,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Newly-Formed_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Newly-Formed,"Cortex, Meninges Removed",KIF19,Kif19a,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Newly-Formed_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Newly-Formed,"Cortex, Meninges Removed",KIAA1644,1810041l15Rik,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Newly-Formed_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Newly-Formed,"Cortex, Meninges Removed",NA,9630013a20Rik,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Newly-Formed_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Newly-Formed,"Cortex, Meninges Removed",CHL1,Nfasc,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Newly-Formed_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Newly-Formed,"Cortex, Meninges Removed",DUPD1,Ssh3,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Newly-Formed_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Newly-Formed,"Cortex, Meninges Removed",PIK3R2,Pik3r3,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Newly-Formed_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Newly-Formed,"Cortex, Meninges Removed",ENPP6,Enpp6,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Newly-Formed_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Newly-Formed,"Cortex, Meninges Removed",TNS1,Tns3,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Newly-Formed_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Newly-Formed,"Cortex, Meninges Removed",BMP4,Bmp4,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Newly-Formed_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Newly-Formed,"Cortex, Meninges Removed",NA,Mycl1,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Newly-Formed_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Newly-Formed,"Cortex, Meninges Removed",CDV3,Cdv3,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Newly-Formed_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Newly-Formed,"Cortex, Meninges Removed",TMEM163,Tmem163,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Newly-Formed_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Newly-Formed,"Cortex, Meninges Removed",RAP2A,Rap2a,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Newly-Formed_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Newly-Formed,"Cortex, Meninges Removed",CEMIP,Tmem2,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Newly-Formed_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Newly-Formed,"Cortex, Meninges Removed",CNKSR2,Cnksr3,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Newly-Formed_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Newly-Formed,"Cortex, Meninges Removed",CYFIP2,Cyfip2,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Newly-Formed_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Newly-Formed,"Cortex, Meninges Removed",FRMD4B,Frmd4a,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Newly-Formed_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Newly-Formed,"Cortex, Meninges Removed",SLC12A1,Slc12a2,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Newly-Formed_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Newly-Formed,"Cortex, Meninges Removed",ITPR1,Itpr2,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Newly-Formed_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Newly-Formed,"Cortex, Meninges Removed",RNF122,Rnf122,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Newly-Formed_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Newly-Formed,"Cortex, Meninges Removed",LIMS3,Lims2,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Newly-Formed_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Newly-Formed,"Cortex, Meninges Removed",SAMD4B,Samd4b,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Newly-Formed_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Newly-Formed,"Cortex, Meninges Removed",LOC100288637,Chn2,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Newly-Formed_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Newly-Formed,"Cortex, Meninges Removed",PPP2R3A,Ppp2r3a,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Newly-Formed_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Newly-Formed,"Cortex, Meninges Removed",STRN3,Strn,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Newly-Formed_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Newly-Formed,"Cortex, Meninges Removed",GLRB,Glrb,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Newly-Formed_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Newly-Formed,"Cortex, Meninges Removed",MRAS,Rras2,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Newly-Formed_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Newly-Formed,"Cortex, Meninges Removed",FMNL1,Fmnl2,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Newly-Formed_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Newly-Formed,"Cortex, Meninges Removed",SEMA5B,Sema5a,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Newly-Formed_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Newly-Formed,"Cortex, Meninges Removed",FAM3C,Fam3c,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Newly-Formed_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Newly-Formed,"Cortex, Meninges Removed",CDC37L1,Cdc37l1,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Newly-Formed_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Newly-Formed,"Cortex, Meninges Removed",FAM73A,Fam73a,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Newly-Formed_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Newly-Formed,"Cortex, Meninges Removed",ELOVL6,Elovl6,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Newly-Formed_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Newly-Formed,"Cortex, Meninges Removed",ATRNL1,Atrn,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Newly-Formed_Zhang_JNeuro_2014,Oligodendrocyte_Immature
Oligodendrocyte,Myelinating,"Cortex, Meninges Removed",GJB1,Gjb1,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Myelinating_Zhang_JNeuro_2014,Oligodendrocyte
Oligodendrocyte,Myelinating,"Cortex, Meninges Removed",NDRG1,Ndrg1,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Myelinating_Zhang_JNeuro_2014,Oligodendrocyte
Oligodendrocyte,Myelinating,"Cortex, Meninges Removed",PPP1R14A,Ppp1r14a,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Myelinating_Zhang_JNeuro_2014,Oligodendrocyte
Oligodendrocyte,Myelinating,"Cortex, Meninges Removed",ADSS,Adssl1,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Myelinating_Zhang_JNeuro_2014,Oligodendrocyte
Oligodendrocyte,Myelinating,"Cortex, Meninges Removed",ASPA,Aspa,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Myelinating_Zhang_JNeuro_2014,Oligodendrocyte
Oligodendrocyte,Myelinating,"Cortex, Meninges Removed",ACY3,Acy3,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Myelinating_Zhang_JNeuro_2014,Oligodendrocyte
Oligodendrocyte,Myelinating,"Cortex, Meninges Removed",TP53INP2,Trp53inp2,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Myelinating_Zhang_JNeuro_2014,Oligodendrocyte
Oligodendrocyte,Myelinating,"Cortex, Meninges Removed",PLA2G16,Pla2g16,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Myelinating_Zhang_JNeuro_2014,Oligodendrocyte
Oligodendrocyte,Myelinating,"Cortex, Meninges Removed",EFHD2,Efhd1,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Myelinating_Zhang_JNeuro_2014,Oligodendrocyte
Oligodendrocyte,Myelinating,"Cortex, Meninges Removed",ITGB4,Itgb4,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Myelinating_Zhang_JNeuro_2014,Oligodendrocyte
Oligodendrocyte,Myelinating,"Cortex, Meninges Removed",HAPLN2,Hapln2,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Myelinating_Zhang_JNeuro_2014,Oligodendrocyte
Oligodendrocyte,Myelinating,"Cortex, Meninges Removed",MBP,Mbp,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Myelinating_Zhang_JNeuro_2014,Oligodendrocyte
Oligodendrocyte,Myelinating,"Cortex, Meninges Removed",HCN3,Hcn2,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Myelinating_Zhang_JNeuro_2014,Oligodendrocyte
Oligodendrocyte,Myelinating,"Cortex, Meninges Removed",NA,Nmra1,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Myelinating_Zhang_JNeuro_2014,Oligodendrocyte
Oligodendrocyte,Myelinating,"Cortex, Meninges Removed",CDC42EP2,Cdc42ep2,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Myelinating_Zhang_JNeuro_2014,Oligodendrocyte
Oligodendrocyte,Myelinating,"Cortex, Meninges Removed",MAL,Mal,Mice,Young,Enrichment,>20-fold,All Cells in Cortex,RNAseq,Zhang_JNeuro_2014,Oligodendrocyte_Myelinating_Zhang_JNeuro_2014,Oligodendrocyte
